grupo,indicador,estado,fonte,fórmula,limitação_principal
caixa,Entradas positivas registradas,parcial,finance_transactions,"soma gross_cents de charges positivas após validação e deduplicação canônica; por moeda","cobertura histórica e reconciliação externa não coletadas"
caixa,Reembolsos registrados,parcial,finance_transactions,"soma abs(gross_cents) de refunds aceitos; por moeda","admin_refunds external ausente do ledger não é inferido"
caixa,Taxas registradas,parcial,finance_transactions,"soma assinada de fee_cents dos tipos charge/refund/adjustment/dispute aceitos; por moeda","tipos de provedor fora do ledger podem faltar"
caixa,Líquido calculável registrado,parcial,finance_transactions,"soma net_cents dos tipos charge/refund/adjustment/dispute aceitos; por moeda","não é receita contábil; não inclui fatos ausentes"
caixa,Pagamentos registrados,parcial,finance_transactions,"mesma contagem de identidades canônicas de charge positiva da ADM-001; global, sem depender de fee/net/moeda","não prova cobertura integral dos provedores"
caixa,Pessoas identificadas,parcial,finance_transactions,"count distinct user_id nos pagamentos canônicos ADM-001; global","user_id ausente permanece desconhecido"
caixa,Transações sem pessoa,parcial,finance_transactions,"contagem de movimentos aceitos sem user_id; por moeda","diagnóstico de qualidade, não métrica de cliente"
caixa,Exclusões e conflitos,parcial,finance_transactions,"contagem por motivo e por identidade econômica conflitante","paginação não possui snapshot transacional"
acessos,Acessos automáticos ativos,parcial,subscriptions,"contagem por pessoa sem conflito, status active não expirado e renewal_type auto","estado atual de acesso não prova pagamento ou contrato"
acessos,Acessos manuais pré-pagos ativos,parcial,subscriptions,"contagem status active não expirado e renewal_type manual","explicitamente fora de receita recorrente"
acessos,Acessos em trial,parcial,subscriptions,"contagem status trialing não expirado","explicitamente fora de clientes pagantes"
acessos,Pessoas com acessos conflitantes,parcial,subscriptions,"pessoas com mais de uma subscription atual; todas excluídas das modalidades e catálogo","não há precedência canônica comprovada"
acessos,Cancelamento agendado,parcial,subscriptions,"acesso active não conflitante com cancel_at_period_end=true","permanece atual até o fim; não prova renovação"
catálogo,Valor mensal de catálogo dos acessos automáticos ativos,parcial,subscriptions + shared/planPricing.ts,"soma preço vigente do ciclo dividido pelos meses do intervalo; por moeda","não é recebido nem contratado; não serve a ARR ou churn"
catálogo,Equivalente mensal de catálogo dos acessos manuais,parcial,subscriptions + shared/planPricing.ts,"soma preço vigente do ciclo dividido pelos meses do intervalo; por moeda e separado","pré-pago manual não é recorrência"
contrato,"MRR contratual; ARR; New/Expansion/Contraction/Reactivation/Churned MRR",indisponível,subscriptions + finance_transactions,"não calculado; valor null","faltam obrigação e ciclo contratual imutáveis"
retenção,"NRR; churn de receita; logo churn",indisponível,subscriptions + finance_transactions,"não calculado; valor null","faltam movimentos contratuais históricos comparáveis"
unit economics,LTV,indisponível,subscriptions + finance_transactions,"não calculado; valor null","faltam coortes pagantes e retenção confiáveis"
