fato,escritor,disparo,identidade_idempotencia,effective_at,observed_at,lacuna_cobertura
finance_transactions_stripe,server/lib/stripeSync.ts,"webhooks relevantes; cron diário 04:20 UTC; botão admin","stripe_balance_transaction_id e provider+provider_transaction_id; upsert","balance transaction created","sync time em created_at","tipos fora do mapa skipped; janela e reconciliação não persistidas"
finance_transactions_asaas,server/lib/asaasLedgerWriter.ts via server/providers/asaas.ts,"PAYMENT_RECEIVED/PAYMENT_CONFIRMED/PAYMENT_REFUNDED","provider+payment id para charge; provider+event id para refund; ignoreDuplicates","event.dateCreated com fallback received_at","request received_at/created_at","best-effort após ativação; falha não bloqueia acesso; refund parcial não tratado"
billing_events_stripe,server/providers/stripe.ts,"webhook Stripe","event.id PK; processed_at distingue concluído","event.created","received_at","evento não tratado/falha pode remover linha; não é arquivo imutável completo"
billing_events_asaas,server/providers/asaas.ts,"webhook Asaas","prefixo provider+event id/hash; processed_at","event.dateCreated","received_at","fallback hash; compensação pode remover; raw sem contrato analítico"
subscriptions_stripe_auto,server/providers/stripe.ts,"checkout/subscription/invoice webhooks e reconcile","provider_subscription_id unique; last_event_at ordena","período/status do provider","updated_at/last_event_at","UPDATE sobrescreve ciclos; preço/moeda/discount version ausentes"
subscriptions_stripe_manual,server/providers/stripe.ts,"checkout boleto e async payment","checkout session id unique; RPC de ativação exclusiva","pagamento e período calculado por access_days","event/processing time","cada renovação pode criar linha; não é obrigação recorrente"
subscriptions_asaas_manual,server/providers/asaas.ts,"checkout Pix e PAYMENT_RECEIVED/CONFIRMED","charge id; RPC activate_subscription_exclusive","dateCreated e período por access days","received_at/updated_at","compra avulsa; ledger best-effort; sem contrato recorrente"
subscriptions_reconcile,server/routes/cron.ts,"reconcile-subscriptions a cada 6h","provider_subscription_id; só escreve mudança","estado vivo Stripe","hora do reconcile","não cobre manual como contrato; histórico continua sobrescrito"
subscriptions_expiry_manual,server/routes/cron.ts,"cron de expiração manual","id da linha; update condicional","current_period_end","hora do cron","atraso até cadência; canceled_at operacional"
subscription_cancellations,"server/providers/shared.ts; stripe.ts; admin.ts; billing.ts; cron.ts","cancelar/não renovar/reverter/concluir","pré-checagem por provider_subscription_id; sem chave universal de evento","effective_at/canceled_at","created/updated time","órfãos e múltiplas fontes; não carrega valor perdido"
subscription_snapshots,server/lib/subscriptionSnapshots.ts,"cron diário 05:10 UTC","snapshot_date unique; upsert","foto do dia UTC","created_at/execução","derivado mutável no mesmo dia; sem causas; só desde início da coleta"
admin_refunds,"server/routes/admin.ts; server/providers/asaas.ts","refund admin, declaração externa, atualização webhook","provider+provider_refund_id quando existe","created_at aproxima ação; sem campo econômico próprio universal","created_at/provider status update","external fora do finance summary; parcial Asaas; duas fontes não reconciliadas"
affiliate_counters,server/providers/shared.ts via RPC,"primeira ativação atribuída","update acumulado; sem ledger por conversão histórico completo","instante da ativação","instante do processamento","sem reversal/reconciliação; valor ausente não escreve"
creator_events,server/lib/creatorEvents.ts,"click/checkout/sale após contador","uuid; sem idempotency key explícita; best-effort","occurred_at default now","created_at","somente desde 2026-09-14; pode falhar sem bloquear fluxo"
coupon_counter,server/providers/shared.ts via RPC,"ativação com cupom","incremento por code; proteção depende da transição idempotente","instante da ativação","instante do processamento","sem ledger/versionamento da regra aplicada"
expenses,server/routes/admin.ts,"CRUD administrativo","uuid; mutável/deletável","incurred_on/recurrence dates","created_at/updated_at","não é fato imutável; lucro não é DRE auditável"
