dominio,metrica,estado,justificativa,condicao_para_promover
caixa,receita_bruta_recebida,parcial,"charges observadas; sem prova de cobertura e segregação de moeda","watermarks+reconciliação por provider/moeda e tratamento de lacunas"
caixa,receita_liquida,parcial,"ledger útil; devolução external e cobertura incompletas","reconciliar refunds/disputes/fees/external sem dupla contagem"
caixa,taxas_por_provider,parcial,"Stripe lê fee e Asaas deriva bruto-líquido","provar tipos/cobertura e anomalias por provider"
caixa,reembolsos,parcial,"ledger não contém toda devolução external e refund parcial Asaas","fato unificado/reconciliado por settlement"
caixa,chargebacks,parcial,"Stripe dispute existe; sem cobertura consolidada/equivalente Asaas","reconciliação e política mult/provider"
recorrencia,run_rate_catalogo,parcial,"reproduzível sobre estado atual e catálogo, mas mistura manual/auto","renomear e mostrar composição/cobertura; não chamar de contratual"
recorrencia,MRR_contratual,indisponivel,"valor/moeda/versões de obrigação não existem","contract obligation facts completos"
recorrencia,ARR_contratual,indisponivel,"depende de MRR contratual","MRR confiável e regra anualizada"
recorrencia,new_expansion_contraction_reactivation_churned_MRR,indisponivel,"não há timeline por logo/ciclo","fatos append-only e projetor temporal"
retencao,logo_churn,parcial,"numerador/denominador reconstruídos de estado mutável","membership histórico por instante e população reconciliada"
retencao,revenue_churn_GRC_NRR,indisponivel,"sem MRR por logo e waterfall","obligation facts e invariantes fechados"
retencao,ARPU,indisponivel,"numerador atual não é MRR contratual","MRR contratual / logos recorrentes"
retencao,LTV,indisponivel,"churn e ARPU insuficientes; sem cohorts/margem","cohorts maduros, margem e churn confiável"
assinaturas,status_atual,parcial,"bom sinal operacional; não é história/contrato","reconciliação e status temporal projetado"
assinaturas,novos_pagantes,indisponivel,"created_at não prova primeiro pagamento","payment fact + primeiro paid por logo"
assinaturas,renovacoes,indisponivel,"Stripe sobrescreve ciclo; manual cria linha","contract_cycle_facts"
cobranca,inadimplencia_aberta,indisponivel,"past_due não contém saldo/aging de obrigação","ciclo devido, falhas, saldo e write-off"
cobranca,recuperacao,indisponivel,"transição runtime sem fato econômico persistido","ligar obrigação vencida a pagamento posterior"
marketing,cupons,parcial,"atribuição/counter existem; regra e impacto não versionados","discount facts por ciclo e reconciliação"
marketing,afiliados_comissoes,parcial,"contadores acumulados e eventos recentes best-effort","ledger de earning/reversal/payment"
qualidade,cobertura_frescor,indisponivel,"não há manifesto de completude por provider/período","watermarks e reconciliation runs"
