"method","path","file","line","data_or_resource","sensitivity","effect","current_guard","current_role_enforcement","recommended_min_role","proposed_capability","audit_requirement","confirmation_or_idempotency"
"GET","/api/admin/dashboard","server/routes/admin.ts","596","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/posthog-stats","server/routes/admin.ts","640","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/online-now","server/routes/admin.ts","804","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/users-active-daily","server/routes/admin.ts","833","users, profiles, auth times, subscriptions, transactions, audits or activity according to route","PII, behavior and financial data","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","users.read","sensitive detail access log recommended","none"
"GET","/api/admin/health-band","server/routes/admin.ts","897","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/integrations/health","server/routes/admin.ts","1047","configuration availability and integration health","internal security posture, without secrets","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","integrations.health.read","not required","none"
"GET","/api/admin/churn-risk","server/routes/admin.ts","1055","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/usage-retention","server/routes/admin.ts","1180","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/linkedin-lastro","server/routes/admin.ts","1211","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/overview","server/routes/admin.ts","1313","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/paid-funnel","server/routes/admin.ts","1571","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/overview-series","server/routes/admin.ts","1635","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/attention","server/routes/admin.ts","1744","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/billing/orphan-payments","server/routes/admin.ts","1767","open orphan payments and ledger links","financial and customer PII","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","finance.orphan.read","financial detail access log recommended","none"
"POST","/api/admin/billing/orphan-payments/:id/resolve","server/routes/admin.ts","1872","billing_orphan_payments and optional subscription link","financial and customer linkage","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","finance.orphan.resolve","mandatory fail closed intent and result","mandatory note, confirmation and optimistic unresolved precondition"
"GET","/api/admin/signup-history","server/routes/admin.ts","2197","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/subscription-history","server/routes/admin.ts","2390","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/cancellation-reasons","server/routes/admin.ts","2573","local aggregate metrics and source status","internal aggregate","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","dashboard.read","not required","none"
"GET","/api/admin/me","server/routes/admin.ts","2703","authenticated admin identity and stored role","own identity","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","admin.session.read","not required","none"
"GET","/api/admin/content/:type","server/routes/admin.ts","2716","allowlisted content tables selected by type","public content and internal publication state","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","content.read","not required","none"
"GET","/api/admin/content/:type/:id","server/routes/admin.ts","2759","allowlisted content tables selected by type","public content and internal publication state","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","content.read","not required","none"
"POST","/api/admin/content/:type","server/routes/admin.ts","2813","allowlisted content tables selected by type","public content and internal publication state","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","content.write","required, before and result; current helper is best effort after mutation","optimistic concurrency for update and explicit confirmation for delete/publish"
"PATCH","/api/admin/content/:type/:id","server/routes/admin.ts","2860","allowlisted content tables selected by type","public content and internal publication state","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","content.write","required, before and result; current helper is best effort after mutation","optimistic concurrency for update and explicit confirmation for delete/publish"
"DELETE","/api/admin/content/:type/:id","server/routes/admin.ts","2929","allowlisted content tables selected by type","public content and internal publication state","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","content.write","required, before and result; current helper is best effort after mutation","optimistic concurrency for update and explicit confirmation for delete/publish"
"GET","/api/admin/audit-logs","server/routes/admin.ts","2999","content_audit_logs with before/after snapshots","audit trail may contain PII and financial reasons","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","audit.read","access to audit trail should itself be logged separately","none"
"GET","/api/admin/fiscal-invoices/summary","server/routes/admin.ts","3049","fiscal invoices and reconciliation status","fiscal and customer data, masked in list","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","fiscal.read","sensitive detail access log recommended","none"
"GET","/api/admin/fiscal-invoices","server/routes/admin.ts","3134","fiscal invoices and reconciliation status","fiscal and customer data, masked in list","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","fiscal.read","sensitive detail access log recommended","none"
"POST","/api/admin/fiscal-invoices/:id/retry","server/routes/admin.ts","3211","fiscal invoice and emission queue/provider job","critical fiscal and customer data","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","fiscal.retry","mandatory fail closed with request/result; current generic helper is best effort","mandatory reason, confirmation and idempotent queue key"
"GET","/api/admin/users","server/routes/admin.ts","3349","users, profiles, auth times, subscriptions, transactions, audits or activity according to route","PII, behavior and financial data","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","users.read","sensitive detail access log recommended","none"
"GET","/api/admin/users/:id","server/routes/admin.ts","3633","profile, auth summary, subscriptions, cancellations, finance and creator state","PII, financial and access data","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","users.detail.read","sensitive detail access log recommended","none"
"POST","/api/admin/users/:id/reveal-cpf","server/routes/admin.ts","3990","full CPF from profiles","restricted PII","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","users.pii.reveal","mandatory fail closed before disclosure","mandatory reason and explicit confirmation"
"POST","/api/admin/users/:id/influencer","server/routes/admin.ts","4054","creator access grant","privileged access","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","creators.access.grant","mandatory fail closed with before and after","mandatory reason, confirmation and idempotent grant"
"POST","/api/admin/users/:id/influencer/revoke","server/routes/admin.ts","4162","creator access grant","privileged access","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","creators.access.revoke","mandatory fail closed with before and after","mandatory reason, confirmation and last-state check"
"GET","/api/admin/creators","server/routes/admin.ts","4257","creators, linked user, subscriptions, events, commission/refund summaries","internal creator metrics","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","creators.read","not required","none"
"GET","/api/admin/creators/resumo","server/routes/admin.ts","4302","creators, linked user, subscriptions, events, commission/refund summaries","internal creator metrics","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","creators.read","not required","none"
"GET","/api/admin/creators/:userId","server/routes/admin.ts","4318","creators, linked user, subscriptions, events, commission/refund summaries","PII and financial detail","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","creators.read","consider sensitive detail access log","none"
"POST","/api/admin/users/:id/refunds","server/routes/admin.ts","4897","finance_transactions, provider refund state and admin_refunds","critical financial and customer data","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","finance.refund","mandatory fail closed intent plus immutable result","mandatory reason, confirmation, canonical idempotency key and provider reconciliation"
"POST","/api/admin/users/:id/external-refunds","server/routes/admin.ts","5235","provider refund lookup and admin_refunds","critical financial and customer data","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","finance.refund.record","mandatory fail closed intent plus immutable result","mandatory reason, confirmation and unique provider identity"
"POST","/api/admin/users/:id/subscription/revoke","server/routes/admin.ts","5575","subscription/access state and provider subscription","critical access and financial effect","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","subscriptions.revoke","mandatory fail closed intent and result","mandatory reason, confirmation and idempotent terminal state"
"POST","/api/admin/users/:id/subscription/cancel","server/routes/admin.ts","5694","subscription state and Stripe cancellation","critical access and contract effect","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","subscriptions.cancel","mandatory fail closed intent and result","mandatory reason, confirmation and idempotency"
"GET","/api/admin/users/:id/email-usage","server/routes/admin.ts","5827","email-linked usage counts","PII and account identity","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","users.email_usage.read","sensitive read access log recommended","none"
"POST","/api/admin/users/:id/email","server/routes/admin.ts","5909","Auth email, profile email and provider customer email","PII and account identity","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","users.identity.update","mandatory fail closed with sanitized before/after and result","mandatory reason, confirmation, optimistic precondition and recovery plan"
"PATCH","/api/admin/users/:id","server/routes/admin.ts","6084","profile, auth summary, subscriptions, cancellations, finance and creator state","PII, financial and access data","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","owner","users.profile.update","mandatory fail closed with field redaction","reason by sensitive field and optimistic updated_at precondition"
"GET","/api/admin/users/:id/transactions","server/routes/admin.ts","6217","users, profiles, auth times, subscriptions, transactions, audits or activity according to route","PII, behavior and financial data","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","users.read","financial detail access log recommended","none"
"GET","/api/admin/users/:id/audit","server/routes/admin.ts","6304","users, profiles, auth times, subscriptions, transactions, audits or activity according to route","PII, behavior and financial data","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","users.read","access to audit history should be logged","none"
"GET","/api/admin/users/:id/activity","server/routes/admin.ts","6407","users, profiles, auth times, subscriptions, transactions, audits or activity according to route","PII, behavior and financial data","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","users.read","sensitive detail access log recommended","none"
"GET","/api/admin/users/:id/site-life","server/routes/admin.ts","6436","users, profiles, auth times, subscriptions, transactions, audits or activity according to route","PII, behavior and financial data","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","users.read","sensitive detail access log recommended","none"
"GET","/api/admin/subscriptions","server/routes/admin.ts","6466","subscriptions, registered financial movements, MRR/churn, expenses or FX","financial, sometimes customer-level","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","finance.read","not required","none"
"GET","/api/admin/subscribers","server/routes/admin.ts","6505","subscriptions, registered financial movements, MRR/churn, expenses or FX","financial, sometimes customer-level","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","finance.read","not required","none"
"GET","/api/admin/billing-metrics","server/routes/admin.ts","6562","subscriptions, registered financial movements, MRR/churn, expenses or FX","financial, sometimes customer-level","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","finance.read","not required","none"
"GET","/api/admin/finance/summary","server/routes/admin.ts","6798","subscriptions, registered financial movements, MRR/churn, expenses or FX","financial, sometimes customer-level","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","finance.read","not required","none"
"GET","/api/admin/finance/timeseries","server/routes/admin.ts","6822","subscriptions, registered financial movements, MRR/churn, expenses or FX","financial, sometimes customer-level","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","finance.read","not required","none"
"GET","/api/admin/finance/transactions","server/routes/admin.ts","6840","subscriptions, registered financial movements, MRR/churn, expenses or FX","financial, sometimes customer-level","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","finance.read","financial detail access log recommended","none"
"GET","/api/admin/finance/expenses","server/routes/admin.ts","6874","expense ledger and FX conversion","financial","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","finance.read","not required","none"
