"capability","viewer","editor","owner","route_scope","sensitivity","audit_policy"
"dashboard.read","yes","yes","yes","GET dashboards, overview, attention, trends and aggregate health","internal aggregates","none beyond access telemetry"
"users.read","yes","yes","yes","GET user lists and user details","PII, behavior and subscription state","log sensitive detail and bulk access"
"users.pii.reveal","no","no","yes","GET CPF reveal","highly sensitive PII","mandatory success and failure audit"
"users.profile.write","no","yes","yes","PATCH profile and preferences","PII and account state","mandatory before and after audit"
"users.identity.write","no","no","yes","PUT email and auth identity","authentication identity","mandatory reason, confirmation and before and after audit"
"users.export","no","no","yes","export or bulk retrieval of personal records","bulk PII","mandatory reason and export audit"
"subscriptions.read","yes","yes","yes","GET subscriptions and local access state","financial and access state","log sensitive detail access"
"subscriptions.access.write","no","no","yes","grant, revoke, extend or cancel access","entitlement and provider side effects","mandatory reason, confirmation, idempotency and fail-closed audit"
"finance.read","yes","yes","yes","GET transactions, expenses, fiscal records and orphan cases","financial records","log exports and individual sensitive detail"
"finance.expenses.write","no","yes","yes","create, update and delete local expenses","financial records","mandatory before and after audit"
"finance.orphans.resolve","no","no","yes","resolve a local orphan payment case","payment attribution and access consequences","mandatory reason, expected state, idempotency and fail-closed audit"
"finance.refund.execute","no","no","yes","create Stripe or legacy provider refund","irreversible external money movement","mandatory reason, step-up confirmation, idempotency and fail-closed audit"
"finance.refund.record","no","no","yes","record an externally completed refund","financial history","mandatory evidence, reason and fail-closed audit"
"finance.sync.execute","no","no","yes","start financial synchronization","provider and ledger mutation","mandatory reason, single-flight or idempotency and fail-closed audit"
"finance.fiscal.retry","no","no","yes","retry fiscal document processing","external fiscal side effect","mandatory reason, idempotency and fail-closed audit"
"commissions.write","no","no","yes","settle or adjust commissions","financial balance","mandatory reason, optimistic concurrency and fail-closed audit"
"creators.read","yes","yes","yes","GET creators, influencers and affiliates","commercial relationship and linked users","log bulk access"
"creators.write","no","yes","yes","create or edit creator metadata","commercial configuration","mandatory before and after audit"
"creators.access.write","no","no","yes","grant or revoke creator access","entitlement and commercial state","mandatory reason, confirmation and fail-closed audit"
"content.read","yes","yes","yes","GET editable content and catalog records","public or editorial content","none"
"content.write","no","yes","yes","create, update or delete editorial content","public content integrity","mandatory before and after audit"
"crm.read","yes","yes","yes","GET CRM pipelines, cards, activities and contacts","commercial PII and notes","log sensitive detail and bulk access"
"crm.write","no","yes","yes","create, update or delete CRM records","commercial PII and workflow state","mandatory actor and before and after audit"
"communications.read","yes","yes","yes","GET campaigns, lists and notifications","contact lists and communication history","log bulk recipient access"
"communications.draft.write","no","yes","yes","create and edit drafts, templates and schedules without dispatch","customer communication","mandatory before and after audit"
"communications.send","no","no","yes","send test, immediate or scheduled customer communication","external customer impact","mandatory reason, recipient scope, confirmation, idempotency and fail-closed audit"
"notifications.publish","no","no","yes","publish or dispatch notifications","external or broad user impact","mandatory reason, scope, confirmation and fail-closed audit"
"vacancies.read","yes","yes","yes","GET administrative vacancy queue","editorial and partner data","none"
"vacancies.write","no","yes","yes","create, update or delete vacancies","public content and partner data","mandatory before and after audit"
"ai.costs.read","yes","yes","yes","GET AI usage and cost details","internal cost and user behavior","log per-user detail and exports"
"ai.configuration.write","no","no","yes","change AI limits, provider configuration or budgets when introduced","cost and provider control","mandatory reason, step-up confirmation and fail-closed audit"
"moderation.write","no","yes","yes","approve or reject avatars and reported content","user-generated content","mandatory decision and reason audit"
"integrations.health.read","no","yes","yes","GET integration configuration health","security posture without secret values","access telemetry recommended"
"admin.audit.read","no","no","yes","GET administrative audit history","security and sensitive metadata","mandatory access audit"
"admin.roles.read","no","no","yes","GET administrative principals and roles","authorization configuration","mandatory access audit"
"admin.roles.write","no","no","yes","promote, demote or revoke administrator roles","control plane","mandatory reason, step-up confirmation, last-owner guard and fail-closed audit"
