"method","path","capability","nature","risk","viewer","editor","owner","reason","confirmation","idempotency","audit"
"GET","/api/admin/dashboard","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/posthog-stats","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/online-now","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/health-band","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/churn-risk","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/usage-retention","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/linkedin-lastro","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/overview","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/paid-funnel","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/overview-series","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/attention","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/signup-history","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/subscription-history","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/cancellation-reasons","dashboard.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/users-active-daily","users.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/users","users.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/users/:id/transactions","users.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/users/:id/audit","users.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/users/:id/activity","users.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/users/:id/site-life","users.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/users/:id","users.detail.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/integrations/health","integrations.health.read","read","medium","no","yes","yes","no","no","no","none"
"GET","/api/admin/billing/orphan-payments","finance.orphan.read","read","high","yes","yes","yes","no","no","no","access"
"POST","/api/admin/billing/orphan-payments/:id/resolve","finance.orphan.resolve","mutation","critical","no","no","yes","required","required","required","fail_closed"
"GET","/api/admin/me","admin.session.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/content/:type","content.read","read","low","yes","yes","yes","no","no","no","none"
"GET","/api/admin/content/:type/:id","content.read","read","low","yes","yes","yes","no","no","no","none"
"POST","/api/admin/content/:type","content.write","mutation","medium","no","yes","yes","no","no","no","required"
"PATCH","/api/admin/content/:type/:id","content.write","mutation","medium","no","yes","yes","no","no","no","required"
"DELETE","/api/admin/content/:type/:id","content.write","mutation","medium","no","yes","yes","no","no","no","required"
"GET","/api/admin/audit-logs","admin.audit.read","read","high","no","no","yes","no","no","no","access"
"GET","/api/admin/fiscal-invoices/summary","fiscal.read","read","high","yes","yes","yes","no","no","no","access"
"GET","/api/admin/fiscal-invoices","fiscal.read","read","high","yes","yes","yes","no","no","no","access"
"POST","/api/admin/fiscal-invoices/:id/retry","fiscal.retry","mutation","critical","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/users/:id/reveal-cpf","users.pii.reveal","mutation","high","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/users/:id/influencer","creators.access.grant","mutation","critical","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/users/:id/influencer/revoke","creators.access.revoke","mutation","critical","no","no","yes","required","required","required","fail_closed"
"GET","/api/admin/creators","creators.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/creators/resumo","creators.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/creators/:userId","creators.read","read","medium","yes","yes","yes","no","no","no","access"
"GET","/api/admin/affiliates-stats","creators.read","read","medium","yes","yes","yes","no","no","no","access"
"POST","/api/admin/users/:id/refunds","finance.refund","mutation","critical","no","no","yes","required","required","required","fail_closed"
"POST","/api/admin/users/:id/external-refunds","finance.refund.record","mutation","critical","no","no","yes","required","required","required","fail_closed"
