indicador,definicao_exibida,formula_atual,fontes,periodo_timezone,classificacao,limitacoes,risco_decisao
MRR,"MRR das assinaturas ativas","Soma do preço atual de catálogo dividido por 1/6/12 para linhas active não expiradas","subscriptions + plans + shared/planPricing.ts","foto atual; cache 45s; datas ISO UTC","incorreto como MRR contratual","sem preço/moeda contratados; desconto/ciclos apagados; inclui pré-pago manual; catálogo reavalia toda a base","previsão e valuation superestimados ou alterados sem mudança contratual"
ARR,"não exibido","não existe; seria tentador usar 12 x MRR","derivação do MRR atual","foto atual","indisponível","herda todas as falhas do MRR; não há obrigação anualizada provada","planejamento anual fictício"
Receita bruta,"Receita bruta / receita no período","soma gross_cents somente de charge","finance_transactions","occurred_at inclusivo; presets e buckets UTC; cache 45s","parcial","cobertura não provada; moedas não segregadas; não é competência","tratar parcial/multimoeda como faturamento consolidado"
Receita líquida,"Receita líquida","soma net_cents de charge/refund/adjustment/dispute","finance_transactions","occurred_at UTC","parcial","devolução external ausente; cobertura não provada; sem impostos/comissões","superestimar caixa/margem"
Receita recebida,"não isolada; aproximada por charges","soma de charges confirmadas no ledger","finance_transactions; balance transactions Stripe; webhooks Asaas","effective time do provedor aproximado por occurred_at","parcial","sem watermark/reconciliação e segregação de moeda","confundir ingerido com total recebido"
Taxas totais,"Taxas do período","soma fee_cents dos tipos de receita","finance_transactions","mesma janela do caixa em UTC","parcial","Asaas deriva bruto-líquido; Stripe ignora tipos fora do mapa; cobertura desconhecida","margem incorreta"
Taxas Stripe,"quebra Stripe","soma fee_cents onde provider=stripe","finance_transactions","mesma janela do caixa","parcial","depende da completude do sync de balance transactions","subestimar custo do provedor"
Taxas Asaas,"quebra Asaas","soma de value-netValue materializada como fee_cents","finance_transactions","evento PAYMENT_RECEIVED/CONFIRMED","parcial","ledger é best-effort e sem reconciliação","subestimar custo Pix"
Reembolsos,"Reembolsos","soma abs(gross_cents) onde type=refund","finance_transactions","occurred_at UTC","parcial","external em admin_refunds não entra; parcial Asaas não tratado","superestimar líquido e omitir devoluções"
Chargebacks,"Disputa no extrato; não há KPI","linhas type=dispute Stripe","finance_transactions","occurred_at UTC","parcial","sem equivalente Asaas; cobertura do sync não provada","subestimar perda e risco"
Assinantes ativos,"ativos","contagem de linhas active não expiradas que entram no MRR","subscriptions","foto atual; cache 45s","parcial","linha não é logo histórico; inclui manual pré-pago; null end aceito","confundir acesso vigente com contrato recorrente"
Trialing,"em trial","contagem de linhas trialing no recorte não expirado","subscriptions","foto atual","parcial","sem histórico e coorte de trial; trial_end não entra na métrica","otimizar aquisição sobre população incompleta"
Past due,"em atraso / receita em risco","contagem e equivalente mensal de catálogo de past_due","subscriptions + preço catálogo","foto atual","parcial","Stripe operacional; não é saldo devedor; manual overdue tem outra semântica","confundir risco estimado com dívida comprovada"
Cancelados,"canceled_count nos snapshots / motivos","tally cru de status canceled; cancelamentos efetivos combinam subscriptions e cancellation rows","subscriptions + subscription_cancellations + snapshots","foto diária 05:10 UTC ou janela 30d","parcial","múltiplas linhas por pessoa; órfãos; exclusões; estado cru histórico","confundir estoque acumulado com churn"
Novas assinaturas,"não há KPI confiável","nenhuma fórmula canônica; created_at seria criação de linha","subscriptions","não definido","indisponível","pending não é venda; manual renewal cria linha; Stripe renewal atualiza linha","CAC/conversão errados"
Renovações,"não exibido","não existe fato agregado","eventos/provider + estado mutável","não definido","indisponível","ciclo Stripe é sobrescrito; manual cria nova linha; sem cycle fact","não medir retenção e receita recorrente"
